Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Mexico,Mexico,1981,Earths,0.02112503741949941,0.577470234202505,0.2662886316494898,0.03401608285175434,0.1126600825769774,0.18345346105433288,1.1950135297545572,3A,MX
Mexico,Mexico,1982,Earths,0.01894099056986509,0.5409603626815767,0.22046005582307387,0.02480807452136069,0.11224154387168098,0.17646948080092006,1.09388050826848,3A,MX
Mexico,Mexico,1983,Earths,0.02138593154200219,0.48290665804243493,0.2660181499652828,0.019645000931785464,0.11232467835979139,0.17803510130580666,1.0803155201470998,3A,MX
Mexico,Mexico,1984,Earths,0.020849421458472697,0.49985533201152516,0.25195876889342483,0.02737480049781506,0.11113630048238332,0.17694085347628397,1.0881154768199037,3A,MX
Mexico,Mexico,1985,Earths,0.02286229716830444,0.534116283732205,0.26088859272748194,0.02682493831990284,0.11448622397088459,0.1784753268922627,1.1376536628110432,3A,MX
Mexico,Mexico,1986,Earths,0.02185028993364222,0.4989038486763232,0.2254960024621846,0.026937994562656473,0.11405703124152008,0.16810315120154742,1.0553483180778742,3A,MX
Mexico,Mexico,1987,Earths,0.022571385451459286,0.5124825316943511,0.24418937841172156,0.02824383690188079,0.11658857656851011,0.16778247694135856,1.091858185969283,3A,MX
Mexico,Mexico,1988,Earths,0.02045147899300963,0.5425455139393233,0.24279562721633605,0.033312429822618964,0.11837716523066293,0.18045440587621212,1.1379366210781623,3A,MX
Mexico,Mexico,1989,Earths,0.01900787176429213,0.5703704437761956,0.24257214259376966,0.0367264909832424,0.11838261624494471,0.1796359592022158,1.1666955245646617,3A,MX
Mexico,Mexico,1990,Earths,0.021402582687666333,0.5721005995172378,0.28468939763099554,0.039520230116500105,0.11584862737124102,0.17330760047728108,1.2068690378009241,3A,MX
Mexico,Mexico,1991,Earths,0.019852009383309187,0.6237775907214408,0.2716316755983447,0.03680813545188007,0.11835222433914842,0.18384029077430786,1.2542619262684316,3A,MX
Mexico,Mexico,1992,Earths,0.018585757315909907,0.6194820797839703,0.2779421881305389,0.035869400205122075,0.11924306933548409,0.18539500641873766,1.2565175011897638,3A,MX
Mexico,Mexico,1993,Earths,0.01959294820250554,0.64506753860946,0.28005948023607696,0.035957780139759046,0.12608369409885786,0.17806784638736048,1.2848292876740204,3A,MX
Mexico,Mexico,1994,Earths,0.020282151121037168,0.722759236409602,0.29048080936468607,0.03850530498505924,0.12480394963305913,0.18044887701156137,1.3772803285250055,3A,MX
Mexico,Mexico,1995,Earths,0.020788767953599668,0.6788322601605551,0.25901569541381636,0.040396589873415094,0.1260198528622355,0.15861858484163485,1.2836717511052573,3A,MX
Mexico,Mexico,1996,Earths,0.022873565647031652,0.847378781611504,0.30783586812508673,0.045246193390275635,0.11864803032671536,0.17159551615814844,1.51357795525876,3A,MX
Mexico,Mexico,1997,Earths,0.02150065250601362,0.8508025890258472,0.28776945280856436,0.048223453405564456,0.12484879331129309,0.18335109020030926,1.5164960312575928,3A,MX
Mexico,Mexico,1998,Earths,0.022463033537418055,0.838742288365786,0.32830660050636373,0.03632906835324461,0.13248115297788565,0.19000650219243997,1.548328645933141,3A,MX
Mexico,Mexico,1999,Earths,0.0216793604196794,1.3326180720132041,0.32925286635683787,0.04004101729357571,0.14391135665766283,0.19002911452557483,2.057531787266537,3A,MX
Mexico,Mexico,2000,Earths,0.021620960086485747,0.787857996231803,0.3362308414352055,0.0390060145357661,0.15575528714913184,0.1939802312828863,1.534451330721281,3A,MX
Mexico,Mexico,2001,Earths,0.0235237147785578,1.022794068843442,0.35904266458691747,0.04017645343011196,0.14241396046736088,0.1944902436288147,1.7824411057352072,3A,MX
Mexico,Mexico,2002,Earths,0.022974692460438567,0.8796753589318126,0.3674357831859843,0.04449378602248473,0.14255296049345678,0.202111301614276,1.6592438827084532,3A,MX
Mexico,Mexico,2003,Earths,0.024247032065232016,0.745317408433513,0.371197261527548,0.04017320727803329,0.15127525711851308,0.1868665942965639,1.5190767607194027,3A,MX
Mexico,Mexico,2004,Earths,0.024025641062924163,0.5665278145984524,0.3552297756689722,0.04309093063586321,0.1602536095210861,0.17527525950549286,1.324403030992791,3A,MX
Mexico,Mexico,2005,Earths,0.021723266823851926,0.8715581571032667,0.3359206475576123,0.04454427798692314,0.163746005289072,0.1788310955707802,1.6163234503315056,3A,MX
Mexico,Mexico,2006,Earths,0.024294978630749704,0.9292589567912808,0.3608494998526976,0.04019134324097326,0.18002314340024453,0.17805602962464454,1.7126739515405895,3A,MX
Mexico,Mexico,2007,Earths,0.02427822682608536,0.9743507714672314,0.3484231599717445,0.043667428127107805,0.18506655590320217,0.1814497165979919,1.7572358588933652,3A,MX
Mexico,Mexico,2008,Earths,0.025188820974004787,1.0351702733469674,0.32629020744750464,0.041680746608236244,0.17270661617620986,0.17973461184086645,1.7807712763937866,3A,MX
Mexico,Mexico,2009,Earths,0.0233232259766933,0.9871851762413565,0.3008566608990466,0.039222552601574256,0.1439879799224893,0.17155926397908253,1.6661348596202443,3A,MX
Mexico,Mexico,2010,Earths,0.025270362669278103,1.1744147324678997,0.3192195474686081,0.04065227988052155,0.15148466857675044,0.1613543563966951,1.872395947459758,3A,MX
Mexico,Mexico,2011,Earths,0.02193122566632951,0.9785619338950278,0.28905753940435835,0.03416570218347613,0.14939546887135907,0.14792171182261074,1.6210335818431574,3A,MX
Mexico,Mexico,2012,Earths,0.026210583329496627,1.0907742026598963,0.31887381915011276,0.03542463971316012,0.1522824475183176,0.1424851981350133,1.7660508905059973,3A,MX
Mexico,Mexico,2013,Earths,0.02528933264691904,0.9259771987608534,0.2929396121028614,0.042228500010556565,0.15271643597953866,0.14845489735494014,1.5876059768556705,3A,MX
Mexico,Mexico,2014,Earths,0.027274202454328978,0.8707763151548423,0.3053114352236625,0.04720224354204901,0.15112555958755647,0.1446155369100457,1.5463052928724796,3A,MX
Mexico,Mexico,2015,Earths,0.025878865426824077,0.8841201485239824,0.3016419725326872,0.050137190753004476,0.15318073525072406,0.14406332154522222,1.5590222340324413,3A,MX
Mexico,Mexico,2016,Earths,0.02829850308791035,0.8979863992780059,0.31887733467270174,0.05035939543961528,0.15641530080247204,0.1450402249049734,1.5969771581856769,3A,MX
